jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,element_code,year,state,state_abbrev
496,459,194,85,41,2,0,0,2,39,272,562,25,2011,Arizona,AZ
399,347,244,74,12,0,0,0,2,35,169,468,25,2012,Arizona,AZ
567,440,169,87,17,0,0,0,3,78,214,488,25,2013,Arizona,AZ
364,247,181,87,19,1,0,0,1,29,218,431,25,2014,Arizona,AZ
410,212,138,102,46,1,0,0,1,32,304,532,25,2015,Arizona,AZ
502,222,160,98,33,0,0,0,4,19,183,403,25,2016,Arizona,AZ
487,273,131,77,25,0,0,0,3,23,102,352,25,2017,Arizona,AZ
318,324,213,50,13,0,0,0,1,71,269,474,25,2018,Arizona,AZ
472,486,240,80,65,2,0,0,2,62,202,476,25,2019,Arizona,AZ
449,357,261,92,9,1,0,0,1,19,170,475,25,2020,Arizona,AZ
460,320,280,66,15,0,0,0,1,67,133,381,25,2021,Arizona,AZ
447,387,229,74,13,1,0,0,1,53,364,492,25,2022,Arizona,AZ
547,437,345,100,24,5,0,0,3,29,185,387,25,2023,Arizona,AZ
509,333,290,118,23,0,0,0,1,14,300,322,25,2024,Arizona,AZ
540,222,220,99,17,1,0,0,2,33,154,263,25,2025,Arizona,AZ
847,557,363,293,75,4,0,3,15,176,552,785,25,1997,Arkansas,AR
663,538,513,197,12,0,0,0,2,121,360,677,25,1998,Arkansas,AR
720,454,519,124,49,2,0,0,22,150,297,665,25,1999,Arkansas,AR
742,464,362,206,24,5,0,0,11,116,571,1064,25,2000,Arkansas,AR
883,571,553,84,31,2,0,0,27,208,324,639,25,2001,Arkansas,AR
720,653,554,117,63,2,0,1,7,199,518,712,25,2002,Arkansas,AR
895,720,458,147,35,8,0,0,35,138,342,715,25,2003,Arkansas,AR
763,696,332,170,23,3,1,6,16,93,355,741,25,2004,Arkansas,AR
654,507,483,169,56,1,0,0,2,157,359,792,25,2005,Arkansas,AR
567,690,398,69,29,2,0,0,40,199,418,639,25,2006,Arkansas,AR
806,693,240,256,22,2,0,0,11,117,396,683,25,2007,Arkansas,AR
826,625,439,221,49,1,0,3,27,197,496,770,25,2008,Arkansas,AR
849,515,411,200,57,0,0,4,29,281,348,858,25,2009,Arkansas,AR
902,819,475,118,24,0,0,0,10,140,407,829,25,2010,Arkansas,AR
875,617,424,121,60,0,0,0,36,180,370,686,25,2011,Arkansas,AR
656,520,191,100,10,0,0,0,12,212,452,598,25,2012,Arkansas,AR
732,628,590,225,57,1,0,2,7,167,538,800,25,2013,Arkansas,AR
942,755,592,194,44,2,2,1,18,122,620,682,25,2014,Arkansas,AR
835,829,497,138,37,0,0,3,8,128,353,498,25,2015,Arkansas,AR
812,525,343,136,62,0,0,1,6,68,308,729,25,2016,Arkansas,AR
646,380,337,109,51,2,0,4,13,137,360,722,25,2017,Arkansas,AR
924,563,389,318,4,0,0,2,8,148,597,670,25,2018,Arkansas,AR
780,559,531,166,28,2,0,1,1,189,577,620,25,2019,Arkansas,AR
681,599,318,221,67,1,0,2,21,214,354,712,25,2020,Arkansas,AR
756,869,351,231,65,1,0,0,8,95,480,398,25,2021,Arkansas,AR
840,659,433,194,25,0,0,1,11,166,475,704,25,2022,Arkansas,AR
610,482,414,180,29,1,0,0,7,120,416,608,25,2023,Arkansas,AR
921,400,339,122,12,0,0,0,13,81,292,605,25,2024,Arkansas,AR
918,618,301,110,46,0,0,1,9,95,313,640,25,2025,Arkansas,AR
518,438,301,262,58,52,6,2,11,146,307,566,25,1997,California,CA
502,511,426,377,306,98,2,0,26,188,397,583,25,1998,California,CA
505,474,511,393,211,75,7,10,22,75,295,480,25,1999,California,CA
478,427,414,235,121,23,11,2,25,193,464,443,25,2000,California,CA
594,530,358,380,69,26,7,2,18,94,325,567,25,2001,California,CA
582,388,452,293,179,37,0,3,15,184,283,536,25,2002,California,CA
355,454,374,409,163,44,0,2,9,61,436,533,25,2003,California,CA
546,502,233,233,126,44,1,1,20,189,440,513,25,2004,California,CA
520,421,380,330,146,84,0,0,51,153,279,456,25,2005,California,CA
514,398,585,355,121,15,0,5,24,176,307,521,25,2006,California,CA
609,436,298,273,135,39,0,1,41,163,281,606,25,2007,California,CA
601,457,388,290,168,27,1,1,12,93,247,583,25,2008,California,CA
435,472,428,307,89,68,0,1,5,174,331,577,25,2009,California,CA
492,437,420,388,248,55,6,9,20,141,394,482,25,2010,California,CA
482,523,437,312,240,80,4,3,12,118,402,574,25,2011,California,CA
447,439,447,273,130,51,4,0,7,100,291,559,25,2012,California,CA
576,476,317,219,112,22,0,2,21,166,303,498,25,2013,California,CA
341,352,300,217,91,25,0,1,7,60,257,444,25,2014,California,CA
397,270,212,236,196,13,0,1,7,48,398,569,25,2015,California,CA
509,271,337,213,159,14,1,0,21,127,268,525,25,2016,California,CA
574,420,305,245,133,17,0,0,16,87,252,400,25,2017,California,CA
373,419,428,240,159,31,0,1,18,112,270,495,25,2018,California,CA
474,589,434,215,240,32,3,0,23,141,284,515,25,2019,California,CA
497,367,470,258,102,32,1,0,2,41,328,472,25,2020,California,CA
483,406,472,230,125,12,0,0,11,171,226,553,25,2021,California,CA
462,406,334,252,146,18,0,0,3,86,431,534,25,2022,California,CA
582,542,566,288,186,93,0,0,39,95,290,404,25,2023,California,CA
494,450,445,299,161,18,0,1,10,54,388,397,25,2024,California,CA
505,369,434,278,118,26,6,0,11,137,259,358,25,2025,California,CA
1247,1046,820,807,382,118,23,54,168,577,990,1220,25,1997,Colorado,CO
1111,969,968,705,314,195,11,35,111,558,798,1191,25,1998,Colorado,CO
1073,859,798,750,438,159,14,43,299,535,696,1102,25,1999,Colorado,CO
1098,840,864,561,282,115,7,12,191,546,1137,1224,25,2000,Colorado,CO
1214,1043,903,576,360,96,3,27,160,537,806,1151,25,2001,Colorado,CO
1203,1034,1036,539,377,54,1,33,200,699,936,1118,25,2002,Colorado,CO
1006,1096,876,570,349,186,0,15,266,419,956,1104,25,2003,Colorado,CO
1161,1064,716,612,317,169,40,87,214,546,930,1105,25,2004,Colorado,CO
1076,934,912,649,374,146,6,53,157,515,804,1206,25,2005,Colorado,CO
1031,1047,936,529,299,64,7,39,336,615,849,1171,25,2006,Colorado,CO
1425,1050,740,663,347,111,7,14,173,496,812,1318,25,2007,Colorado,CO
1341,1021,945,718,423,142,9,46,244,542,782,1240,25,2008,Colorado,CO
1105,897,861,689,334,177,37,61,230,775,810,1377,25,2009,Colorado,CO
1182,1127,906,635,465,102,15,28,144,480,925,1048,25,2010,Colorado,CO
1242,1139,830,654,494,120,10,11,208,549,891,1249,25,2011,Colorado,CO
1071,1071,682,488,307,42,3,19,173,595,764,1182,25,2012,Colorado,CO
1246,1086,950,790,380,77,16,24,147,646,874,1244,25,2013,Colorado,CO
1178,1095,893,637,387,128,17,61,177,465,964,1153,25,2014,Colorado,CO
1101,939,762,604,481,81,32,28,112,417,906,1205,25,2015,Colorado,CO
1189,888,842,639,450,60,12,57,169,399,723,1244,25,2016,Colorado,CO
1227,814,683,618,420,89,8,58,187,580,714,1081,25,2017,Colorado,CO
1080,1043,836,650,263,63,9,44,128,625,966,1165,25,2018,Colorado,CO
1174,1115,996,587,539,162,11,18,110,758,911,1117,25,2019,Colorado,CO
1113,1092,815,674,308,79,10,7,197,588,783,1148,25,2020,Colorado,CO
1156,1153,914,689,392,69,7,24,116,512,717,974,25,2021,Colorado,CO
1184,1126,922,641,376,90,6,16,116,521,1003,1211,25,2022,Colorado,CO
1285,1107,1064,704,336,177,15,25,158,541,828,1042,25,2023,Colorado,CO
1263,905,887,589,413,55,16,18,119,374,929,979,25,2024,Colorado,CO
1383,1013,762,620,382,89,11,25,181,477,721,888,25,2025,Colorado,CO
1154,846,877,574,321,33,1,15,108,445,768,998,25,1997,Connecticut,CT
963,817,779,481,149,46,1,1,63,389,687,860,25,1998,Connecticut,CT
1134,914,834,498,205,11,0,7,59,440,572,940,25,1999,Connecticut,CT
1222,922,700,554,220,34,16,19,119,412,713,1177,25,2000,Connecticut,CT
1191,971,934,497,192,15,13,0,92,361,569,837,25,2001,Connecticut,CT
960,849,801,436,300,42,0,1,56,455,729,1068,25,2002,Connecticut,CT
1320,1137,883,606,310,56,0,1,77,463,619,986,25,2003,Connecticut,CT
1409,999,824,501,172,47,4,7,69,414,673,1029,25,2004,Connecticut,CT
1235,973,995,464,360,8,0,0,39,365,640,1099,25,2005,Connecticut,CT
948,976,862,468,238,23,0,7,120,415,544,815,25,2006,Connecticut,CT
1021,1146,909,592,178,27,1,6,59,218,732,1056,25,2007,Connecticut,CT
1066,965,858,456,298,11,0,20,79,446,718,991,25,2008,Connecticut,CT
1336,954,861,460,224,65,11,1,122,460,552,1057,25,2009,Connecticut,CT
1158,967,667,380,146,10,0,4,45,360,670,1117,25,2010,Connecticut,CT
1273,1038,847,471,176,24,0,4,35,339,553,845,25,2011,Connecticut,CT
1005,818,586,443,134,30,0,1,78,305,752,876,25,2012,Connecticut,CT
1095,982,878,515,214,18,0,14,114,340,735,1025,25,2013,Connecticut,CT
1258,1095,1040,537,207,25,0,16,71,321,739,896,25,2014,Connecticut,CT
1263,1351,1032,524,116,43,0,1,21,397,548,642,25,2015,Connecticut,CT
1068,904,661,535,210,20,0,0,36,335,622,973,25,2016,Connecticut,CT
972,830,952,381,251,23,1,9,38,195,694,1094,25,2017,Connecticut,CT
1201,799,864,627,120,30,0,0,36,373,752,937,25,2018,Connecticut,CT
1148,951,908,462,240,28,0,5,78,332,784,1001,25,2019,Connecticut,CT
964,847,710,601,266,13,0,1,75,347,568,952,25,2020,Connecticut,CT
1086,999,780,477,222,9,1,0,48,243,702,843,25,2021,Connecticut,CT
1234,942,788,507,151,30,0,0,72,370,578,955,25,2022,Connecticut,CT
839,859,791,408,247,43,0,8,51,270,740,801,25,2023,Connecticut,CT
1022,870,689,493,149,5,0,6,77,325,559,1007,25,2024,Connecticut,CT
1180,991,719,455,191,10,0,14,61,347,702,1103,25,2025,Connecticut,CT
987,697,631,424,194,11,0,0,43,272,624,825,25,1997,Delaware,DE
747,673,617,304,77,3,0,0,8,257,543,729,25,1998,Delaware,DE
879,765,721,355,113,2,0,0,22,309,428,779,25,1999,Delaware,DE
1008,748,519,388,86,0,0,0,52,251,620,1063,25,2000,Delaware,DE
1009,768,757,341,106,0,0,0,45,249,412,662,25,2001,Delaware,DE
799,686,596,255,123,0,0,0,12,255,597,923,25,2002,Delaware,DE
1118,956,638,396,209,10,0,0,17,308,424,864,25,2003,Delaware,DE
1158,829,602,325,25,3,0,0,15,297,508,827,25,2004,Delaware,DE
980,806,788,321,220,0,0,0,5,224,468,934,25,2005,Delaware,DE
734,803,637,276,111,0,0,0,46,291,436,672,25,2006,Delaware,DE
795,1011,633,431,84,0,0,0,12,109,575,827,25,2007,Delaware,DE
896,752,617,301,161,0,0,0,15,291,594,780,25,2008,Delaware,DE
1088,761,682,311,99,6,0,0,39,288,445,889,25,2009,Delaware,DE
994,946,526,245,60,0,0,0,7,231,541,1034,25,2010,Delaware,DE
1098,764,670,257,57,0,0,0,11,265,440,690,25,2011,Delaware,DE
825,682,412,321,40,0,0,0,23,215,659,673,25,2012,Delaware,DE
884,837,767,328,102,0,0,0,42,206,615,797,25,2013,Delaware,DE
1117,902,812,371,85,0,0,0,20,212,632,760,25,2014,Delaware,DE
1052,1101,797,330,36,0,0,0,5,280,413,466,25,2015,Delaware,DE
977,762,491,366,139,0,0,0,3,190,492,816,25,2016,Delaware,DE
824,597,687,194,124,0,0,0,13,137,546,912,25,2017,Delaware,DE
1020,640,779,423,38,0,0,0,3,196,612,761,25,2018,Delaware,DE
957,771,698,217,59,0,0,0,8,167,663,807,25,2019,Delaware,DE
795,666,501,413,168,0,0,0,25,203,419,809,25,2020,Delaware,DE
912,850,554,306,117,0,0,0,12,125,613,675,25,2021,Delaware,DE
1056,747,573,366,77,0,0,0,16,309,473,864,25,2022,Delaware,DE
700,650,620,222,141,10,0,0,16,200,595,689,25,2023,Delaware,DE
885,724,537,295,78,0,0,0,20,211,438,849,25,2024,Delaware,DE
1103,804,511,285,86,0,0,0,14,244,559,955,25,2025,Delaware,DE
186,89,24,20,0,0,0,0,0,5,82,174,25,1997,Florida,FL
166,154,113,11,0,0,0,0,0,2,26,89,25,1998,Florida,FL
162,128,106,2,0,0,0,0,0,4,58,171,25,1999,Florida,FL
203,146,45,20,0,0,0,0,0,10,87,211,25,2000,Florida,FL
322,81,80,10,0,0,0,0,0,9,40,94,25,2001,Florida,FL
186,153,53,1,0,0,0,0,0,1,88,205,25,2002,Florida,FL
340,128,29,13,0,0,0,0,0,4,32,228,25,2003,Florida,FL
231,152,66,24,0,0,0,0,0,2,42,194,25,2004,Florida,FL
178,141,99,29,0,0,0,0,0,4,44,211,25,2005,Florida,FL
167,180,76,2,0,0,0,0,0,6,85,91,25,2006,Florida,FL
147,178,58,18,0,0,0,0,0,2,66,90,25,2007,Florida,FL
197,103,74,12,0,0,0,0,0,9,113,127,25,2008,Florida,FL
230,195,69,12,0,0,0,0,0,2,54,144,25,2009,Florida,FL
336,292,176,11,0,0,0,0,0,6,67,391,25,2010,Florida,FL
262,120,56,3,0,0,0,0,0,12,51,111,25,2011,Florida,FL
195,89,25,5,0,0,0,0,0,4,105,124,25,2012,Florida,FL
115,120,171,7,0,0,0,0,0,3,44,86,25,2013,Florida,FL
269,107,89,9,0,0,0,0,0,5,114,129,25,2014,Florida,FL
192,203,29,1,0,0,0,0,0,3,15,41,25,2015,Florida,FL
229,165,34,6,0,0,0,0,0,2,52,73,25,2016,Florida,FL
136,81,60,3,0,0,0,0,0,2,42,127,25,2017,Florida,FL
261,44,101,11,0,0,0,0,0,1,48,127,25,2018,Florida,FL
205,58,63,7,0,0,0,0,0,0,66,98,25,2019,Florida,FL
148,97,21,3,0,0,0,0,0,1,20,203,25,2020,Florida,FL
199,93,44,12,0,0,0,0,0,2,86,69,25,2021,Florida,FL
215,103,36,4,0,0,0,0,0,7,27,134,25,2022,Florida,FL
148,60,32,3,0,0,0,0,0,4,49,133,25,2023,Florida,FL
190,145,38,9,0,0,0,0,0,3,24,143,25,2024,Florida,FL
293,74,67,2,0,0,0,0,0,4,65,118,25,2025,Florida,FL
625,446,222,239,92,9,0,0,7,146,499,640,25,1997,Georgia,GA
577,485,437,178,13,0,0,0,0,94,276,465,25,1998,Georgia,GA
563,457,457,85,48,2,0,0,10,148,290,602,25,1999,Georgia,GA
677,446,290,211,15,0,0,0,13,132,422,853,25,2000,Georgia,GA
752,416,449,118,35,3,0,0,17,202,243,466,25,2001,Georgia,GA
615,534,360,73,50,0,0,0,0,81,458,668,25,2002,Georgia,GA
790,533,298,155,38,4,0,0,11,145,253,704,25,2003,Georgia,GA
703,599,280,160,13,0,0,0,11,81,293,643,25,2004,Georgia,GA
565,467,435,185,69,2,0,0,0,107,328,711,25,2005,Georgia,GA
512,577,365,73,44,0,0,0,15,188,389,494,25,2006,Georgia,GA
589,598,247,210,32,0,0,0,0,83,401,468,25,2007,Georgia,GA
713,483,389,161,45,0,0,0,6,178,481,517,25,2008,Georgia,GA
681,543,360,182,30,0,0,0,8,173,347,680,25,2009,Georgia,GA
808,715,469,107,16,0,0,0,0,128,370,854,25,2010,Georgia,GA
791,463,325,99,34,0,0,0,11,198,342,508,25,2011,Georgia,GA
562,431,160,96,13,2,0,0,8,149,437,483,25,2012,Georgia,GA
509,545,542,158,64,0,0,0,8,130,448,544,25,2013,Georgia,GA
887,515,452,147,32,0,0,0,4,116,530,508,25,2014,Georgia,GA
713,714,310,99,21,0,0,0,9,132,265,310,25,2015,Georgia,GA
733,506,250,132,35,0,0,0,0,74,290,524,25,2016,Georgia,GA
477,339,320,65,32,2,0,0,13,102,333,582,25,2017,Georgia,GA
786,276,416,219,10,0,0,0,0,82,459,550,25,2018,Georgia,GA
623,360,374,117,7,0,0,0,0,64,437,475,25,2019,Georgia,GA
529,453,215,171,59,0,0,0,8,80,246,642,25,2020,Georgia,GA
620,521,263,170,50,0,0,0,8,81,429,360,25,2021,Georgia,GA
684,427,301,162,16,0,0,0,8,188,312,584,25,2022,Georgia,GA
506,298,298,139,44,4,0,0,5,116,346,536,25,2023,Georgia,GA
691,409,282,106,15,0,0,0,4,92,214,575,25,2024,Georgia,GA
812,399,299,73,31,0,0,0,4,124,314,561,25,2025,Georgia,GA
1170,959,812,665,284,159,60,40,168,579,840,1194,25,1997,Idaho,ID
1043,881,833,599,385,230,12,25,113,572,814,1220,25,1998,Idaho,ID
1082,958,845,670,447,192,57,37,243,502,700,1142,25,1999,Idaho,ID
1131,833,829,482,341,140,30,33,246,552,1089,1196,25,2000,Idaho,ID
1250,1028,770,633,281,160,35,20,136,534,772,1232,25,2001,Idaho,ID
1200,1069,959,585,379,126,17,74,203,641,883,1022,25,2002,Idaho,ID
973,944,759,605,355,122,11,20,187,405,999,1041,25,2003,Idaho,ID
1251,1001,690,496,375,136,29,51,247,521,889,1050,25,2004,Idaho,ID
1139,944,779,583,352,217,28,44,247,510,916,1249,25,2005,Idaho,ID
1051,1037,886,553,302,100,11,51,219,581,847,1159,25,2006,Idaho,ID
1286,864,701,552,288,120,5,39,217,578,868,1188,25,2007,Idaho,ID
1314,972,948,739,365,177,28,44,215,542,763,1232,25,2008,Idaho,ID
1186,971,921,610,325,172,32,49,123,688,873,1320,25,2009,Idaho,ID
1063,906,810,639,521,194,47,62,198,446,939,1108,25,2010,Idaho,ID
1212,1043,859,736,476,232,51,30,131,516,939,1176,25,2011,Idaho,ID
1097,930,775,501,380,172,18,24,156,562,779,1100,25,2012,Idaho,ID
1382,951,805,617,315,124,14,21,172,613,862,1311,25,2013,Idaho,ID
1115,935,770,588,304,169,13,50,167,419,947,1014,25,2014,Idaho,ID
1087,737,648,568,294,48,33,31,183,349,953,1172,25,2015,Idaho,ID
1138,842,741,426,323,94,42,42,230,493,702,1356,25,2016,Idaho,ID
1408,925,712,625,339,123,11,24,202,626,807,1183,25,2017,Idaho,ID
993,983,846,560,235,150,18,39,200,557,903,1162,25,2018,Idaho,ID
1115,1066,894,541,352,156,37,32,219,776,852,1092,25,2019,Idaho,ID
1066,973,802,579,330,177,40,23,150,510,879,1132,25,2020,Idaho,ID
1091,1005,812,565,342,44,5,49,182,510,768,1106,25,2021,Idaho,ID
1231,1070,774,710,452,158,13,12,107,434,1072,1247,25,2022,Idaho,ID
1186,1057,1031,670,225,149,15,31,182,492,842,1018,25,2023,Idaho,ID
1149,853,839,562,426,112,12,35,129,432,899,1015,25,2024,Idaho,ID
1230,1006,759,548,286,96,18,25,106,557,697,878,25,2025,Idaho,ID
1432,978,784,579,329,31,5,31,82,371,845,1064,25,1997,Illinois,IL
1111,737,808,431,106,28,0,8,29,322,627,960,25,1998,Illinois,IL
1345,842,894,399,152,19,0,24,102,390,565,1092,25,1999,Illinois,IL
1252,865,626,475,146,40,9,11,75,278,823,1530,25,2000,Illinois,IL
1275,1052,929,318,154,41,0,8,115,396,489,963,25,2001,Illinois,IL
1033,906,923,429,294,15,0,9,41,451,818,1083,25,2002,Illinois,IL
1372,1144,826,435,241,63,6,7,102,393,673,1025,25,2003,Illinois,IL
1354,1043,686,395,163,42,11,54,51,357,641,1121,25,2004,Illinois,IL
1214,880,897,351,241,7,0,7,23,331,681,1299,25,2005,Illinois,IL
909,1014,802,323,199,35,0,9,119,481,657,987,25,2006,Illinois,IL
1143,1308,648,511,114,18,8,5,40,221,754,1170,25,2007,Illinois,IL
1269,1184,909,443,280,19,5,19,64,398,761,1301,25,2008,Illinois,IL
1504,1002,765,490,191,30,28,29,82,509,586,1180,25,2009,Illinois,IL
1392,1114,717,275,158,15,0,4,72,315,687,1356,25,2010,Illinois,IL
1372,1063,829,474,207,22,0,9,128,351,635,953,25,2011,Illinois,IL
1102,889,388,411,108,15,0,13,98,437,761,926,25,2012,Illinois,IL
1188,1082,1024,524,163,32,8,15,56,383,840,1297,25,2013,Illinois,IL
1540,1372,1064,467,184,20,24,12,102,404,959,1016,25,2014,Illinois,IL
1318,1371,918,402,158,37,8,20,27,336,614,795,25,2015,Illinois,IL
1256,942,639,453,198,15,0,5,24,254,548,1210,25,2016,Illinois,IL
1109,752,781,341,238,17,5,30,42,273,779,1176,25,2017,Illinois,IL
1324,1038,868,698,83,15,4,7,35,412,930,1013,25,2018,Illinois,IL
1328,1101,934,454,227,36,0,16,28,411,924,971,25,2019,Illinois,IL
1094,1001,727,529,227,12,0,11,90,465,577,1041,25,2020,Illinois,IL
1166,1318,667,414,213,10,5,5,30,219,770,867,25,2021,Illinois,IL
1421,1103,764,548,144,16,0,12,65,407,694,1151,25,2022,Illinois,IL
1033,900,828,415,170,28,5,12,50,323,721,835,25,2023,Illinois,IL
1241,739,647,384,119,10,6,11,38,251,590,1044,25,2024,Illinois,IL
1351,1069,627,419,221,11,0,14,42,249,696,1190,25,2025,Illinois,IL
1316,863,722,555,306,29,3,27,89,370,803,1001,25,1997,Indiana,IN
949,724,748,387,96,18,5,6,29,310,612,898,25,1998,Indiana,IN
1200,816,891,356,139,12,0,18,76,367,531,1006,25,1999,Indiana,IN
1208,811,621,448,131,22,9,13,94,268,748,1437,25,2000,Indiana,IN
1188,899,873,278,134,31,3,6,109,366,489,883,25,2001,Indiana,IN
966,841,843,365,251,9,0,4,34,407,764,1045,25,2002,Indiana,IN
1363,1116,728,370,202,50,6,6,111,393,580,988,25,2003,Indiana,IN
1276,997,659,362,107,30,8,36,52,340,585,1072,25,2004,Indiana,IN
1112,859,876,345,229,7,0,3,32,323,625,1206,25,2005,Indiana,IN
817,943,772,302,208,27,0,8,126,442,632,870,25,2006,Indiana,IN
1032,1281,588,479,99,12,9,2,36,193,703,1025,25,2007,Indiana,IN
1171,1050,835,392,258,13,5,17,50,368,745,1134,25,2008,Indiana,IN
1375,935,662,420,171,16,25,19,78,460,572,1089,25,2009,Indiana,IN
1285,1111,675,254,131,7,0,2,55,303,677,1279,25,2010,Indiana,IN
1297,969,743,384,166,12,0,9,108,360,552,894,25,2011,Indiana,IN
1027,842,358,382,81,14,0,14,100,413,756,845,25,2012,Indiana,IN
1103,988,949,443,124,20,7,15,59,349,784,1120,25,2013,Indiana,IN
1438,1227,978,397,156,11,26,11,102,366,895,956,25,2014,Indiana,IN
1252,1298,881,382,118,20,7,19,35,314,565,714,25,2015,Indiana,IN
1176,882,569,405,195,10,0,1,26,215,546,1108,25,2016,Indiana,IN
982,673,712,267,196,17,2,25,53,254,690,1115,25,2017,Indiana,IN
1268,855,845,611,57,8,2,6,28,335,855,931,25,2018,Indiana,IN
1199,936,876,401,165,25,0,11,22,316,864,910,25,2019,Indiana,IN
963,916,655,493,217,12,0,12,82,386,559,984,25,2020,Indiana,IN
1081,1169,613,404,218,10,4,2,39,195,759,779,25,2021,Indiana,IN
1278,1000,678,485,121,12,1,8,68,389,661,1045,25,2022,Indiana,IN
900,763,761,381,170,29,2,14,56,291,670,784,25,2023,Indiana,IN
1168,726,600,325,94,9,6,8,40,256,540,959,25,2024,Indiana,IN
1325,979,593,382,195,8,0,15,50,263,694,1099,25,2025,Indiana,IN
1555,1109,853,612,348,27,10,36,99,408,952,1163,25,1997,Iowa,IA
1278,833,976,457,116,58,8,13,46,380,723,1095,25,1998,Iowa,IA
1487,892,895,444,191,37,1,31,148,439,623,1182,25,1999,Iowa,IA
1347,913,682,465,155,52,14,15,89,323,964,1697,25,2000,Iowa,IA
1369,1297,1072,365,184,46,4,15,152,463,510,1054,25,2001,Iowa,IA
1113,979,1034,485,277,17,1,25,79,570,904,1116,25,2002,Iowa,IA
1424,1249,931,439,252,57,11,10,150,403,860,1134,25,2003,Iowa,IA
1459,1173,749,421,191,58,23,74,67,413,726,1191,25,2004,Iowa,IA
1423,945,896,352,260,13,6,21,51,390,760,1415,25,2005,Iowa,IA
1008,1113,876,345,196,32,2,17,174,529,757,1044,25,2006,Iowa,IA
1331,1392,722,548,120,26,10,9,87,294,831,1374,25,2007,Iowa,IA
1492,1344,1008,557,267,35,11,32,106,445,825,1469,25,2008,Iowa,IA
1621,1075,852,535,210,38,47,46,111,612,643,1381,25,2009,Iowa,IA
1582,1328,808,303,203,24,5,9,114,355,800,1429,25,2010,Iowa,IA
1540,1177,919,521,222,32,0,18,171,370,756,1095,25,2011,Iowa,IA
1194,983,446,392,116,20,0,24,135,499,775,1144,25,2012,Iowa,IA
1327,1142,1120,620,220,38,14,18,58,446,931,1473,25,2013,Iowa,IA
1588,1463,1100,526,206,27,37,21,136,441,1067,1132,25,2014,Iowa,IA
