r,st,interconnect,transgrp,transreg,nercr,hurdlereg
p83,IL,eastern,MISO_Central,MISO,MISO,MISO
p84,MO,eastern,MISO_Central,MISO,MISO,MISO
p85,AR,eastern,MISO_South,MISO,MISO,MISO
p86,LA,eastern,MISO_South,MISO,MISO,MISO
p87,MS,eastern,MISO_South,MISO,MISO,MISO
p88,MS,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p89,AL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p90,AL,eastern,SERTP,SERTP,SERC_SE,PowerSouth_Energy_Coop
p91,FL,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p92,TN,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p93,KY,eastern,SERTP,SERTP,SERC_C,Tennessee_Valley_Authority
p94,GA,eastern,SERTP,SERTP,SERC_SE,Southern_Co_Services_Inc
p95,SC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Carolinas_LLC
p96,SC,eastern,SERTP,SERTP,SERC_E,South_Carolina_Electric_Gas_Co
p97,NC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Carolinas_LLC
p98,NC,eastern,SERTP,SERTP,SERC_E,Duke_Energy_Progress_East
p99,VA,eastern,PJM_East,PJM,PJM,PJM
p100,VA,eastern,PJM_East,PJM,PJM,PJM
p101,FL,eastern,FRCC,FRCC,SERC_F,Seminole_Electric_Coop_Inc
p102,FL,eastern,FRCC,FRCC,SERC_F,Florida_Power_and_Light
p103,MI,eastern,MISO_Central,MISO,MISO,MISO
p104,MI,eastern,PJM_West,PJM,PJM,PJM
p105,IN,eastern,MISO_Central,MISO,MISO,MISO
p106,IN,eastern,MISO_Central,MISO,MISO,MISO
p107,IN,eastern,MISO_Central,MISO,MISO,MISO
p108,KY,eastern,MISO_Central,MISO,MISO,MISO
p109,KY,eastern,PJM_East,PJM,PJM,PJM
p110,KY,eastern,PJM_East,PJM,PJM,PJM
p111,OH,eastern,PJM_East,PJM,PJM,PJM
p112,OH,eastern,PJM_East,PJM,PJM,PJM
p113,OH,eastern,PJM_East,PJM,PJM,PJM
p114,OH,eastern,PJM_East,PJM,PJM,PJM
p115,PA,eastern,PJM_East,PJM,PJM,PJM
p116,WV,eastern,PJM_East,PJM,PJM,PJM
p117,WV,eastern,PJM_East,PJM,PJM,PJM
p118,VA,eastern,PJM_East,PJM,PJM,PJM
p120,PA,eastern,PJM_East,PJM,PJM,PJM
p121,MD,eastern,PJM_East,PJM,PJM,PJM
z122,PA,eastern,PJM_East,PJM,PJM,PJM
p123,MD,eastern,PJM_East,PJM,PJM,PJM
p124,VA,eastern,PJM_East,PJM,PJM,PJM
p125,DE,eastern,PJM_East,PJM,PJM,PJM
p126,NJ,eastern,PJM_East,PJM,PJM,PJM
p127,NY,eastern,NYISO,NYISO,NPCC_NY,NYISO
p128,NY,eastern,NYISO,NYISO,NPCC_NY,NYISO
p129,VT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p130,NH,eastern,ISONE,ISONE,NPCC_NE,ISONE
p131,MA,eastern,ISONE,ISONE,NPCC_NE,ISONE
p132,CT,eastern,ISONE,ISONE,NPCC_NE,ISONE
p133,RI,eastern,ISONE,ISONE,NPCC_NE,ISONE
p134,ME,eastern,ISONE,ISONE,NPCC_NE,ISONE
FIPS_49001_49031,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49003,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49005_49033,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49007,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49009,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49011,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49013,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49015_49055,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49017_49025_49037,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49019,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49021,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49023,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49027,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49029_49043,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49035,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49039,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49041,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49045,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49047,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49049,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49051,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49053,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
FIPS_49057,UT,western,NorthernGrid_South,NorthernGrid,WECC_NW,PacifiCorp_East
